날짜,시도지역코드,발생건수(건)
2023-05-19,99,46678
2023-05-20,11,5929
2023-05-20,26,1937
2023-05-20,27,1555
2023-05-20,28,1600
2023-05-20,29,730
2023-05-20,30,859
2023-05-20,31,483
2023-05-20,41,8638
2023-05-20,42,704
2023-05-20,43,899
2023-05-20,44,1352
2023-05-20,45,1269
2023-05-20,46,966
2023-05-20,47,1366
2023-05-20,48,1836
2023-05-20,49,502
2023-05-20,99,30627
2023-05-21,11,433
2023-05-21,26,73
2023-05-21,27,62
2023-05-21,28,147
2023-05-21,29,60
2023-05-21,30,61
2023-05-21,31,42
2023-05-21,41,896
2023-05-21,42,32
2023-05-21,43,49
2023-05-21,44,78
2023-05-21,45,39
2023-05-21,46,76
2023-05-21,47,52
2023-05-21,48,107
2023-05-21,49,105
2023-05-21,99,2313
2023-05-22,11,10356
2023-05-22,26,3523
2023-05-22,27,2931
2023-05-22,28,2664
2023-05-22,29,1282
2023-05-22,30,1600
2023-05-22,31,821
2023-05-22,41,14578
2023-05-22,42,1667
2023-05-22,43,1689
2023-05-22,44,2440
2023-05-22,45,2303
2023-05-22,46,1959
2023-05-22,47,2811
2023-05-22,48,3413
2023-05-22,49,971
2023-05-22,99,55016
2023-05-23,11,8459
2023-05-23,26,2971
2023-05-23,27,2454
2023-05-23,28,2236
2023-05-23,29,1052
2023-05-23,30,1311
2023-05-23,31,729
2023-05-23,41,11575
2023-05-23,42,1318
2023-05-23,43,1304
2023-05-23,44,1951
2023-05-23,45,1953
2023-05-23,46,1620
2023-05-23,47,2261
2023-05-23,48,2800
2023-05-23,49,771
2023-05-23,99,44769
2023-05-24,11,7450
2023-05-24,26,2817
2023-05-24,27,2312
2023-05-24,28,2110
2023-05-24,29,951
2023-05-24,30,1251
2023-05-24,31,657
2023-05-24,41,10711
2023-05-24,42,1157
2023-05-24,43,1217
2023-05-24,44,1794
2023-05-24,45,1744
2023-05-24,46,1443
2023-05-24,47,2195
2023-05-24,48,2467
2023-05-24,49,768
2023-05-24,99,41046
2023-05-25,11,8102
2023-05-25,26,2797
2023-05-25,27,2234
2023-05-25,28,2020
2023-05-25,29,1027
2023-05-25,30,1257
2023-05-25,31,647
2023-05-25,41,11521
2023-05-25,42,1276
2023-05-25,43,1219
2023-05-25,44,1981
2023-05-25,45,1902
2023-05-25,46,1584
2023-05-25,47,2310
2023-05-25,48,2722
2023-05-25,49,701
2023-05-25,99,43309
2023-05-26,11,9768
2023-05-26,26,3115
2023-05-26,27,2671
2023-05-26,28,2473
2023-05-26,29,1192
2023-05-26,30,1480
2023-05-26,31,746
2023-05-26,41,13654
2023-05-26,42,1410
