날짜,시도지역코드,발생건수(건)
2023-05-25,46,2316
2023-05-25,47,2701
2023-05-25,48,3731
2023-05-25,49,706
2023-05-25,99,55120
2023-05-26,11,13000
2023-05-26,26,4576
2023-05-26,27,3454
2023-05-26,28,4287
2023-05-26,29,1898
2023-05-26,30,2128
2023-05-26,31,1481
2023-05-26,41,17315
2023-05-26,42,1941
2023-05-26,43,2346
2023-05-26,44,3307
2023-05-26,45,2483
2023-05-26,46,2966
2023-05-26,47,3516
2023-05-26,48,4559
2023-05-26,49,924
2023-05-26,99,70188
2023-05-27,11,857
2023-05-27,26,414
2023-05-27,27,332
2023-05-27,28,289
2023-05-27,29,130
2023-05-27,30,214
2023-05-27,31,135
2023-05-27,41,1598
2023-05-27,42,102
2023-05-27,43,225
2023-05-27,44,392
2023-05-27,45,162
2023-05-27,46,274
2023-05-27,47,233
2023-05-27,48,585
2023-05-27,49,93
2023-05-27,99,6035
2023-05-28,11,478
2023-05-28,26,153
2023-05-28,27,104
2023-05-28,28,115
2023-05-28,29,22
2023-05-28,30,145
2023-05-28,31,98
2023-05-28,41,760
2023-05-28,42,37
2023-05-28,43,86
2023-05-28,44,144
2023-05-28,45,58
2023-05-28,46,66
2023-05-28,47,83
2023-05-28,48,161
2023-05-28,49,28
2023-05-28,99,2539
2023-05-29,11,5465
2023-05-29,26,2259
2023-05-29,27,1694
2023-05-29,28,2294
2023-05-29,29,844
2023-05-29,30,1064
2023-05-29,31,633
2023-05-29,41,8511
2023-05-29,42,624
2023-05-29,43,924
2023-05-29,44,1922
2023-05-29,45,988
2023-05-29,46,1603
2023-05-29,47,1241
2023-05-29,48,2555
2023-05-29,49,471
2023-05-29,99,33096
2023-05-30,11,14956
2023-05-30,26,5640
2023-05-30,27,3996
2023-05-30,28,4645
2023-05-30,29,2310
2023-05-30,30,2427
2023-05-30,31,1577
2023-05-30,41,19643
2023-05-30,42,2253
2023-05-30,43,2815
2023-05-30,44,3961
2023-05-30,45,3139
2023-05-30,46,3607
2023-05-30,47,4169
2023-05-30,48,5804
2023-05-30,49,1111
2023-05-30,99,82062
2023-05-31,11,10237
2023-05-31,26,4032
2023-05-31,27,2879
2023-05-31,28,3446
2023-05-31,29,1488
2023-05-31,30,1752
2023-05-31,31,1057
2023-05-31,41,13910
2023-05-31,42,1537
2023-05-31,43,1832
2023-05-31,44,2682
2023-05-31,45,1876
2023-05-31,46,2431
2023-05-31,47,2702
2023-05-31,48,3857
2023-05-31,49,797
2023-05-31,99,56520
2023-06-01,11,10233
2023-06-01,26,3702
2023-06-01,27,2738
2023-06-01,28,3164
2023-06-01,29,1396
2023-06-01,30,1739
2023-06-01,31,943
2023-06-01,41,13719
2023-06-01,42,0
2023-06-01,43,1843
2023-06-01,44,2901
2023-06-01,45,2015
2023-06-01,46,2339
2023-06-01,47,2704
2023-06-01,48,3526
2023-06-01,49,683
2023-06-01,99,55061
2023-06-02,11,12147
2023-06-02,26,4781
2023-06-02,27,3359
2023-06-02,28,3849
2023-06-02,29,1908
2023-06-02,30,2035
2023-06-02,31,1317
2023-06-02,41,16247
2023-06-02,42,2
2023-06-02,43,2415
2023-06-02,44,3321
2023-06-02,45,2486
2023-06-02,46,2684
2023-06-02,47,3242
2023-06-02,48,4596
2023-06-02,49,874
2023-06-02,99,67083
2023-06-03,11,8084
2023-06-03,26,3115
2023-06-03,27,2238
2023-06-03,28,2878
2023-06-03,29,1384
2023-06-03,30,1449
2023-06-03,31,803
2023-06-03,41,11575
2023-06-03,42,0
2023-06-03,43,1535
2023-06-03,44,2064
2023-06-03,45,1503
2023-06-03,46,1751
2023-06-03,47,2169
2023-06-03,48,3154
2023-06-03,49,499
2023-06-03,99,45103
2023-06-04,11,496
2023-06-04,26,173
2023-06-04,27,99
2023-06-04,28,141
2023-06-04,29,24
2023-06-04,30,146
2023-06-04,31,48
2023-06-04,41,873
2023-06-04,42,0
2023-06-04,43,86
2023-06-04,44,149
2023-06-04,45,65
2023-06-04,46,57
2023-06-04,47,61
2023-06-04,48,166
2023-06-04,49,40
2023-06-04,99,2675
2023-06-05,11,16111
2023-06-05,26,6244
2023-06-05,27,4178
2023-06-05,28,5241
2023-06-05,29,2635
2023-06-05,30,2764
2023-06-05,31,1980
2023-06-05,41,22251
2023-06-05,42,1
2023-06-05,43,3091
2023-06-05,44,4620
2023-06-05,45,3214
2023-06-05,46,3690
2023-06-05,47,4396
2023-06-05,48,6220
2023-06-05,49,1072
2023-06-05,99,89918
2023-06-06,11,669
2023-06-06,26,315
2023-06-06,27,247
2023-06-06,28,282
2023-06-06,29,92
2023-06-06,30,220
2023-06-06,31,117
2023-06-06,41,1226
2023-06-06,42,0
2023-06-06,43,158
2023-06-06,44,323
2023-06-06,45,118
2023-06-06,46,191
2023-06-06,47,193
2023-06-06,48,401
2023-06-06,49,101
2023-06-06,99,4726
2023-06-07,11,13260
2023-06-07,26,5621
2023-06-07,27,3848
2023-06-07,28,4339
2023-06-07,29,2024
2023-06-07,30,2216
2023-06-07,31,1526
2023-06-07,41,17656
2023-06-07,42,0
2023-06-07,43,2488
2023-06-07,44,3659
2023-06-07,45,2470
2023-06-07,46,3261
2023-06-07,47,3882
2023-06-07,48,5269
2023-06-07,49,963
2023-06-07,99,74467
2023-06-08,11,10539
