날짜,시군구지역코드,발생건수(건)
2023-05-02,41450,190
2023-05-02,41461,149
2023-05-02,41463,208
2023-05-02,41465,219
2023-05-02,41480,326
2023-05-02,41500,87
2023-05-02,41550,136
2023-05-02,41570,332
2023-05-02,41590,449
2023-05-02,41610,213
2023-05-02,41630,157
2023-05-02,41650,68
2023-05-02,41670,36
2023-05-02,41800,28
2023-05-02,41820,49
2023-05-02,41830,69
2023-05-02,42110,209
2023-05-02,42130,185
2023-05-02,42150,81
2023-05-02,42170,41
2023-05-02,42190,15
2023-05-02,42210,127
2023-05-02,42230,25
2023-05-02,42720,44
2023-05-02,42730,20
2023-05-02,42750,13
2023-05-02,42760,24
2023-05-02,42770,5
2023-05-02,42780,29
2023-05-02,42790,10
2023-05-02,42800,15
2023-05-02,42810,64
2023-05-02,42820,25
2023-05-02,42830,15
2023-05-02,43111,150
2023-05-02,43112,129
2023-05-02,43113,117
2023-05-02,43114,175
2023-05-02,43130,118
2023-05-02,43150,81
2023-05-02,43720,26
2023-05-02,43730,31
2023-05-02,43740,39
2023-05-02,43745,17
2023-05-02,43750,35
2023-05-02,43760,14
2023-05-02,43770,44
2023-05-02,43800,7
2023-05-02,44131,152
2023-05-02,44133,221
2023-05-02,44150,80
2023-05-02,44180,90
2023-05-02,44200,271
2023-05-02,44210,65
2023-05-02,44230,47
2023-05-02,44250,19
2023-05-02,44270,214
2023-05-02,44710,18
2023-05-02,44760,34
2023-05-02,44770,22
2023-05-02,44790,9
2023-05-02,44800,76
2023-05-02,44810,63
2023-05-02,44825,49
2023-05-02,45111,192
2023-05-02,45113,191
2023-05-02,45130,130
2023-05-02,45140,237
2023-05-02,45180,109
2023-05-02,45190,40
2023-05-02,45210,57
2023-05-02,45710,74
2023-05-02,45720,19
2023-05-02,45730,30
2023-05-02,45740,22
2023-05-02,45750,16
2023-05-02,45770,20
2023-05-02,45790,38
2023-05-02,45800,60
2023-05-02,46110,142
2023-05-02,46130,180
2023-05-02,46150,333
2023-05-02,46170,76
2023-05-02,46230,80
2023-05-02,46710,47
2023-05-02,46720,19
2023-05-02,46730,12
2023-05-02,46770,61
2023-05-02,46780,24
2023-05-02,46790,43
2023-05-02,46800,56
2023-05-02,46810,27
2023-05-02,46820,68
2023-05-02,46830,59
2023-05-02,46840,70
2023-05-02,46860,21
2023-05-02,46870,55
2023-05-02,46880,41
2023-05-02,46890,31
2023-05-02,46900,35
2023-05-02,46910,27
2023-05-02,47111,142
2023-05-02,47113,152
2023-05-02,47130,179
2023-05-02,47150,79
2023-05-02,47170,141
2023-05-02,47190,170
2023-05-02,47210,58
2023-05-02,47230,51
2023-05-02,47250,133
2023-05-02,47280,40
2023-05-02,47290,181
2023-05-02,47720,13
2023-05-02,47730,34
2023-05-02,47750,24
2023-05-02,47760,6
2023-05-02,47770,37
2023-05-02,47820,37
2023-05-02,47830,7
2023-05-02,47840,24
2023-05-02,47850,52
2023-05-02,47900,39
2023-05-02,47920,19
2023-05-02,47930,12
2023-05-02,47940,6
2023-05-02,48121,158
2023-05-02,48123,105
2023-05-02,48125,75
2023-05-02,48127,82
2023-05-02,48129,114
2023-05-02,48170,199
2023-05-02,48220,93
2023-05-02,48240,64
2023-05-02,48250,301
2023-05-02,48270,64
2023-05-02,48310,106
2023-05-02,48330,136
2023-05-02,48720,21
2023-05-02,48730,13
2023-05-02,48740,28
2023-05-02,48820,41
2023-05-02,48840,32
2023-05-02,48850,27
2023-05-02,48860,25
2023-05-02,48870,32
2023-05-02,48880,57
2023-05-02,48890,43
2023-05-02,49110,417
2023-05-02,49130,127
2023-05-03,11110,58
2023-05-03,11140,79
2023-05-03,11170,89
2023-05-03,11200,111
2023-05-03,11215,193
2023-05-03,11230,156
2023-05-03,11260,210
2023-05-03,11290,162
2023-05-03,11305,167
2023-05-03,11320,197
2023-05-03,11350,244
2023-05-03,11380,301
2023-05-03,11410,199
2023-05-03,11440,148
2023-05-03,11470,166
2023-05-03,11500,219
2023-05-03,11530,200
2023-05-03,11545,76
2023-05-03,11560,142
2023-05-03,11590,206
2023-05-03,11620,203
2023-05-03,11650,167
2023-05-03,11680,241
2023-05-03,11710,254
2023-05-03,11740,222
2023-05-03,26110,16
2023-05-03,26140,56
2023-05-03,26170,59
2023-05-03,26200,65
2023-05-03,26230,185
2023-05-03,26260,139
2023-05-03,26290,93
2023-05-03,26320,216
2023-05-03,26350,153
2023-05-03,26380,142
2023-05-03,26410,98
2023-05-03,26440,65
2023-05-03,26470,114
2023-05-03,26500,94
2023-05-03,26530,79
2023-05-03,26710,60
2023-05-03,27110,47
2023-05-03,27140,156
2023-05-03,27170,103
2023-05-03,27200,84
2023-05-03,27230,182
2023-05-03,27260,235
2023-05-03,27290,257
2023-05-03,27710,128
2023-05-03,28110,43
2023-05-03,28140,31
2023-05-03,28170,0
2023-05-03,28185,141
