날짜,시군구지역코드,발생건수(건)
2023-05-02,47750,216
2023-05-02,47760,83
2023-05-02,47770,400
2023-05-02,47820,373
2023-05-02,47830,222
2023-05-02,47840,385
2023-05-02,47850,1207
2023-05-02,47900,592
2023-05-02,47920,230
2023-05-02,47930,547
2023-05-02,47940,63
2023-05-02,48121,2202
2023-05-02,48123,2522
2023-05-02,48125,2085
2023-05-02,48127,2203
2023-05-02,48129,2639
2023-05-02,48170,4146
2023-05-02,48220,1221
2023-05-02,48240,1513
2023-05-02,48250,6688
2023-05-02,48270,1094
2023-05-02,48310,3242
2023-05-02,48330,4512
2023-05-02,48720,264
2023-05-02,48730,656
2023-05-02,48740,571
2023-05-02,48820,508
2023-05-02,48840,437
2023-05-02,48850,433
2023-05-02,48860,364
2023-05-02,48870,366
2023-05-02,48880,533
2023-05-02,48890,445
2023-05-02,49110,7139
2023-05-02,49130,2428
2023-05-03,11110,1240
2023-05-03,11140,1230
2023-05-03,11170,2270
2023-05-03,11200,3054
2023-05-03,11215,3530
2023-05-03,11230,3377
2023-05-03,11260,3933
2023-05-03,11290,4834
2023-05-03,11305,2812
2023-05-03,11320,2814
2023-05-03,11350,5300
2023-05-03,11380,5015
2023-05-03,11410,3362
2023-05-03,11440,4095
2023-05-03,11470,4792
2023-05-03,11500,6148
2023-05-03,11530,4613
2023-05-03,11545,2504
2023-05-03,11560,4332
2023-05-03,11590,3862
2023-05-03,11620,4653
2023-05-03,11650,4587
2023-05-03,11680,6005
2023-05-03,11710,7663
2023-05-03,11740,5481
2023-05-03,26110,355
2023-05-03,26140,961
2023-05-03,26170,812
2023-05-03,26200,1031
2023-05-03,26230,3831
2023-05-03,26260,2951
2023-05-03,26290,2632
2023-05-03,26320,2711
2023-05-03,26350,4271
2023-05-03,26380,3228
2023-05-03,26410,2206
2023-05-03,26440,2262
2023-05-03,26470,2098
2023-05-03,26500,1614
2023-05-03,26530,2196
2023-05-03,26710,2163
2023-05-03,27110,768
2023-05-03,27140,3469
2023-05-03,27170,1354
2023-05-03,27200,1168
2023-05-03,27230,4100
2023-05-03,27260,4073
2023-05-03,27290,5552
2023-05-03,27710,3510
2023-05-03,28110,1627
2023-05-03,28140,568
2023-05-03,28170,0
2023-05-03,28185,5004
2023-05-03,28200,5505
2023-05-03,28237,5083
2023-05-03,28245,2653
2023-05-03,28260,7461
2023-05-03,28710,518
2023-05-03,28720,161
2023-05-03,29110,1229
2023-05-03,29140,2754
2023-05-03,29155,2090
2023-05-03,29170,4425
2023-05-03,29200,4301
