날짜,시도지역코드,발생건수(건)
2023-05-22,44,37016
2023-05-22,45,24458
2023-05-22,46,23588
2023-05-22,47,33355
2023-05-22,48,44741
2023-05-22,49,10838
2023-05-22,99,732339
2023-05-23,11,90966
2023-05-23,26,34004
2023-05-23,27,24304
2023-05-23,28,28909
2023-05-23,29,13628
2023-05-23,30,14915
2023-05-23,31,12026
2023-05-23,41,143436
2023-05-23,42,13449
2023-05-23,43,14931
2023-05-23,44,25763
2023-05-23,45,16940
2023-05-23,46,16781
2023-05-23,47,23089
2023-05-23,48,31280
2023-05-23,49,8032
2023-05-23,99,512529
2023-05-24,11,82942
2023-05-24,26,30514
2023-05-24,27,21685
2023-05-24,28,26515
2023-05-24,29,12557
2023-05-24,30,13558
2023-05-24,31,11147
2023-05-24,41,128387
2023-05-24,42,11272
2023-05-24,43,13193
2023-05-24,44,23081
2023-05-24,45,14939
2023-05-24,46,15298
2023-05-24,47,20453
2023-05-24,48,28065
2023-05-24,49,6942
2023-05-24,99,460602
2023-05-25,11,91428
2023-05-25,26,33544
2023-05-25,27,24147
2023-05-25,28,29156
2023-05-25,29,13771
2023-05-25,30,14796
2023-05-25,31,11827
2023-05-25,41,144477
2023-05-25,42,12921
2023-05-25,43,14934
2023-05-25,44,25543
2023-05-25,45,16569
2023-05-25,46,15806
2023-05-25,47,22211
2023-05-25,48,31340
2023-05-25,49,7809
2023-05-25,99,510349
2023-05-26,11,107091
2023-05-26,26,38132
2023-05-26,27,27879
2023-05-26,28,33252
2023-05-26,29,16183
2023-05-26,30,16547
2023-05-26,31,13611
2023-05-26,41,163421
2023-05-26,42,14438
2023-05-26,43,16944
2023-05-26,44,28378
2023-05-26,45,19523
2023-05-26,46,18036
2023-05-26,47,26246
2023-05-26,48,35762
2023-05-26,49,8527
2023-05-26,99,584036
2023-05-27,11,22172
2023-05-27,26,8440
2023-05-27,27,7527
2023-05-27,28,8870
2023-05-27,29,4927
2023-05-27,30,6261
2023-05-27,31,3985
2023-05-27,41,47874
2023-05-27,42,3068
2023-05-27,43,5261
2023-05-27,44,9614
2023-05-27,45,4673
2023-05-27,46,5845
2023-05-27,47,6603
2023-05-27,48,10422
2023-05-27,49,2893
2023-05-27,99,158453
2023-05-28,11,13409
2023-05-28,26,4472
2023-05-28,27,3167
2023-05-28,28,4945
2023-05-28,29,2386
2023-05-28,30,4290
2023-05-28,31,1796
2023-05-28,41,29389
2023-05-28,42,1721
2023-05-28,43,3368
2023-05-28,44,4941
2023-05-28,45,2509
2023-05-28,46,3358
2023-05-28,47,2970
2023-05-28,48,4119
2023-05-28,49,1743
2023-05-28,99,88593
2023-05-29,11,60569
2023-05-29,26,23604
2023-05-29,27,17719
2023-05-29,28,21141
2023-05-29,29,9584
2023-05-29,30,12046
2023-05-29,31,9053
2023-05-29,41,103864
2023-05-29,42,7262
2023-05-29,43,11453
2023-05-29,44,20262
2023-05-29,45,11323
2023-05-29,46,12599
2023-05-29,47,15814
2023-05-29,48,24709
2023-05-29,49,5028
2023-05-29,99,366069
2023-05-30,11,112395
2023-05-30,26,42782
2023-05-30,27,29276
2023-05-30,28,34361
2023-05-30,29,17030
2023-05-30,30,17347
2023-05-30,31,14688
2023-05-30,41,169443
2023-05-30,42,16582
2023-05-30,43,17876
2023-05-30,44,29895
2023-05-30,45,20640
2023-05-30,46,19473
2023-05-30,47,29116
2023-05-30,48,38743
2023-05-30,49,9498
2023-05-30,99,619216
2023-05-31,11,75924
2023-05-31,26,29330
2023-05-31,27,19488
2023-05-31,28,24640
2023-05-31,29,10896
2023-05-31,30,12773
2023-05-31,31,10464
2023-05-31,41,119496
2023-05-31,42,10505
2023-05-31,43,12244
2023-05-31,44,21315
2023-05-31,45,13642
2023-05-31,46,13757
2023-05-31,47,19047
2023-05-31,48,26632
2023-05-31,49,6567
2023-05-31,99,426776
2023-06-01,11,78626
2023-06-01,26,29777
2023-06-01,27,20638
2023-06-01,28,24973
2023-06-01,29,11296
2023-06-01,30,13074
2023-06-01,31,9941
2023-06-01,41,122815
2023-06-01,42,3
2023-06-01,43,13139
2023-06-01,44,22306
2023-06-01,45,14359
2023-06-01,46,14195
2023-06-01,47,20235
2023-06-01,48,27359
2023-06-01,49,6200
2023-06-01,99,440236
2023-06-02,11,90556
2023-06-02,26,32655
2023-06-02,27,22615
2023-06-02,28,28027
2023-06-02,29,12996
2023-06-02,30,13888
2023-06-02,31,11715
2023-06-02,41,137724
2023-06-02,42,1
2023-06-02,43,14358
2023-06-02,44,24246
2023-06-02,45,16461
2023-06-02,46,15424
2023-06-02,47,22497
2023-06-02,48,30868
2023-06-02,49,6999
2023-06-02,99,493349
2023-06-03,11,66771
2023-06-03,26,24019
2023-06-03,27,16827
2023-06-03,28,20705
2023-06-03,29,9815
2023-06-03,30,10854
2023-06-03,31,8380
2023-06-03,41,102498
2023-06-03,42,3
2023-06-03,43,10515
2023-06-03,44,18359
2023-06-03,45,11257
2023-06-03,46,11221
2023-06-03,47,15532
2023-06-03,48,22710
2023-06-03,49,4817
2023-06-03,99,362212
2023-06-04,11,11698
2023-06-04,26,4816
2023-06-04,27,2527
2023-06-04,28,4919
2023-06-04,29,2077
2023-06-04,30,3900
2023-06-04,31,1585
2023-06-04,41,27718
2023-06-04,42,0
2023-06-04,43,2958
2023-06-04,44,4619
2023-06-04,45,2173
2023-06-04,46,3216
2023-06-04,47,2602
2023-06-04,48,4031
2023-06-04,49,1786
2023-06-04,99,82162
2023-06-05,11,122622
2023-06-05,26,47306
2023-06-05,27,30891
2023-06-05,28,38284
2023-06-05,29,18888
2023-06-05,30,19282
2023-06-05,31,16762
2023-06-05,41,184936
2023-06-05,42,8
2023-06-05,43,19452
2023-06-05,44,33500
2023-06-05,45,22309
2023-06-05,46,21166
2023-06-05,47,30574
2023-06-05,48,44023
2023-06-05,49,10093
2023-06-05,99,676320
2023-06-06,11,16108
2023-06-06,26,6567
2023-06-06,27,4688
2023-06-06,28,6879
2023-06-06,29,3223
2023-06-06,30,4854
2023-06-06,31,2762
2023-06-06,41,37466
2023-06-06,42,0
2023-06-06,43,3858
2023-06-06,44,7034
2023-06-06,45,3398
2023-06-06,46,4436
2023-06-06,47,4972
2023-06-06,48,7499
2023-06-06,49,2399
2023-06-06,99,118221
2023-06-07,11,97862
2023-06-07,26,36907
2023-06-07,27,23492
2023-06-07,28,30762
2023-06-07,29,13818
2023-06-07,30,14556
2023-06-07,31,13234
2023-06-07,41,147694
2023-06-07,42,2
2023-06-07,43,15041
2023-06-07,44,25983
2023-06-07,45,17166
2023-06-07,46,17054
2023-06-07,47,24008
2023-06-07,48,33332
2023-06-07,49,7682
2023-06-07,99,531144
2023-06-08,11,77775
2023-06-08,26,29969
2023-06-08,27,18695
2023-06-08,28,25213
2023-06-08,29,11826
2023-06-08,30,12245
2023-06-08,31,10396
2023-06-08,41,121710
2023-06-08,42,2
2023-06-08,43,12450
2023-06-08,44,21991
2023-06-08,45,14508
2023-06-08,46,13653
2023-06-08,47,19088
2023-06-08,48,27245
2023-06-08,49,6917
2023-06-08,99,434581
2023-06-09,11,79154
2023-06-09,26,30196
2023-06-09,27,19175
2023-06-09,28,24952
2023-06-09,29,11674
2023-06-09,30,12297
