날짜,시군구지역코드,발생건수(건)
2023-05-02,41171,277
2023-05-02,41173,372
2023-05-02,41190,1020
2023-05-02,41210,426
2023-05-02,41220,611
2023-05-02,41250,107
2023-05-02,41271,306
2023-05-02,41273,337
2023-05-02,41281,520
2023-05-02,41285,289
2023-05-02,41287,355
2023-05-02,41290,99
2023-05-02,41310,257
2023-05-02,41360,969
2023-05-02,41370,252
2023-05-02,41390,743
2023-05-02,41410,285
2023-05-02,41430,208
2023-05-02,41450,498
2023-05-02,41461,284
2023-05-02,41463,470
2023-05-02,41465,460
2023-05-02,41480,553
2023-05-02,41500,214
2023-05-02,41550,283
2023-05-02,41570,586
2023-05-02,41590,980
2023-05-02,41610,546
2023-05-02,41630,309
2023-05-02,41650,169
2023-05-02,41670,100
2023-05-02,41800,53
2023-05-02,41820,56
2023-05-02,41830,171
2023-05-02,42110,248
2023-05-02,42130,447
2023-05-02,42150,197
2023-05-02,42170,89
2023-05-02,42190,120
2023-05-02,42210,112
2023-05-02,42230,127
2023-05-02,42720,70
2023-05-02,42730,37
2023-05-02,42750,56
2023-05-02,42760,26
2023-05-02,42770,45
2023-05-02,42780,49
2023-05-02,42790,23
2023-05-02,42800,15
2023-05-02,42810,24
2023-05-02,42820,36
2023-05-02,42830,28
2023-05-02,43111,280
2023-05-02,43112,310
2023-05-02,43113,376
2023-05-02,43114,313
2023-05-02,43130,273
2023-05-02,43150,219
2023-05-02,43720,36
2023-05-02,43730,121
2023-05-02,43740,74
2023-05-02,43745,33
2023-05-02,43750,157
2023-05-02,43760,38
2023-05-02,43770,144
2023-05-02,43800,37
2023-05-02,44131,298
2023-05-02,44133,424
2023-05-02,44150,163
2023-05-02,44180,234
2023-05-02,44200,361
2023-05-02,44210,185
2023-05-02,44230,204
2023-05-02,44250,47
2023-05-02,44270,244
2023-05-02,44710,102
2023-05-02,44760,106
2023-05-02,44770,107
2023-05-02,44790,53
2023-05-02,44800,197
2023-05-02,44810,103
2023-05-02,44825,102
2023-05-02,45111,462
2023-05-02,45113,348
2023-05-02,45130,258
2023-05-02,45140,416
2023-05-02,45180,147
2023-05-02,45190,143
2023-05-02,45210,104
2023-05-02,45710,121
2023-05-02,45720,26
2023-05-02,45730,27
2023-05-02,45740,43
2023-05-02,45750,32
2023-05-02,45770,32
2023-05-02,45790,107
2023-05-02,45800,121
2023-05-02,46110,283
2023-05-02,46130,538
2023-05-02,46150,344
2023-05-02,46170,191
2023-05-02,46230,191
2023-05-02,46710,82
2023-05-02,46720,44
2023-05-02,46730,33
2023-05-02,46770,59
2023-05-02,46780,55
2023-05-02,46790,76
2023-05-02,46800,42
2023-05-02,46810,39
2023-05-02,46820,105
2023-05-02,46830,74
2023-05-02,46840,144
2023-05-02,46860,44
2023-05-02,46870,106
2023-05-02,46880,43
2023-05-02,46890,62
2023-05-02,46900,45
2023-05-02,46910,42
2023-05-02,47111,298
2023-05-02,47113,363
2023-05-02,47130,349
2023-05-02,47150,142
2023-05-02,47170,218
2023-05-02,47190,529
2023-05-02,47210,195
2023-05-02,47230,143
2023-05-02,47250,115
2023-05-02,47280,106
2023-05-02,47290,266
2023-05-02,47720,18
2023-05-02,47730,37
2023-05-02,47750,18
2023-05-02,47760,11
2023-05-02,47770,52
2023-05-02,47820,49
2023-05-02,47830,37
2023-05-02,47840,54
2023-05-02,47850,125
2023-05-02,47900,57
2023-05-02,47920,38
2023-05-02,47930,64
2023-05-02,47940,5
2023-05-02,48121,291
2023-05-02,48123,305
2023-05-02,48125,297
2023-05-02,48127,312
2023-05-02,48129,299
2023-05-02,48170,490
2023-05-02,48220,165
2023-05-02,48240,152
2023-05-02,48250,689
2023-05-02,48270,142
2023-05-02,48310,267
2023-05-02,48330,536
2023-05-02,48720,42
2023-05-02,48730,83
2023-05-02,48740,77
2023-05-02,48820,73
2023-05-02,48840,80
2023-05-02,48850,83
2023-05-02,48860,55
2023-05-02,48870,64
2023-05-02,48880,113
2023-05-02,48890,44
2023-05-02,49110,640
2023-05-02,49130,233
2023-05-03,11110,139
2023-05-03,11140,136
2023-05-03,11170,203
2023-05-03,11200,341
2023-05-03,11215,424
2023-05-03,11230,407
2023-05-03,11260,421
2023-05-03,11290,462
2023-05-03,11305,300
2023-05-03,11320,294
2023-05-03,11350,507
2023-05-03,11380,615
2023-05-03,11410,320
2023-05-03,11440,370
2023-05-03,11470,442
2023-05-03,11500,609
2023-05-03,11530,397
2023-05-03,11545,287
2023-05-03,11560,405
2023-05-03,11590,449
2023-05-03,11620,616
2023-05-03,11650,388
2023-05-03,11680,529
2023-05-03,11710,684
2023-05-03,11740,472
2023-05-03,26110,52
2023-05-03,26140,125
2023-05-03,26170,112
2023-05-03,26200,158
2023-05-03,26230,419
2023-05-03,26260,271
2023-05-03,26290,336
2023-05-03,26320,304
2023-05-03,26350,525
2023-05-03,26380,287
2023-05-03,26410,244
2023-05-03,26440,132
2023-05-03,26470,282
2023-05-03,26500,206
2023-05-03,26530,187
2023-05-03,26710,212
2023-05-03,27110,102
2023-05-03,27140,415
2023-05-03,27170,175
2023-05-03,27200,204
2023-05-03,27230,514
2023-05-03,27260,496
2023-05-03,27290,633
2023-05-03,27710,265
2023-05-03,28110,128
2023-05-03,28140,58
2023-05-03,28170,0
2023-05-03,28185,430
2023-05-03,28200,697
2023-05-03,28237,576
2023-05-03,28245,379
2023-05-03,28260,585
2023-05-03,28710,46
2023-05-03,28720,8
2023-05-03,29110,104
2023-05-03,29140,314
2023-05-03,29155,183
2023-05-03,29170,435
2023-05-03,29200,380
2023-05-03,30110,295
2023-05-03,30140,306
2023-05-03,30170,552
2023-05-03,30200,403
2023-05-03,30230,226
2023-05-03,31110,154
2023-05-03,31140,278
2023-05-03,31170,187
2023-05-03,31200,173
2023-05-03,31710,231
2023-05-03,36110,413
2023-05-03,41111,275
2023-05-03,41113,338
2023-05-03,41115,203
2023-05-03,41117,371
2023-05-03,41131,245
2023-05-03,41133,255
2023-05-03,41135,425
2023-05-03,41150,441
2023-05-03,41171,225
2023-05-03,41173,302
2023-05-03,41190,828
2023-05-03,41210,265
2023-05-03,41220,507
2023-05-03,41250,85
2023-05-03,41271,235
2023-05-03,41273,265
2023-05-03,41281,401
2023-05-03,41285,238
2023-05-03,41287,324
2023-05-03,41290,75
2023-05-03,41310,209
2023-05-03,41360,649
2023-05-03,41370,160
2023-05-03,41390,597
2023-05-03,41410,268
2023-05-03,41430,178
2023-05-03,41450,435
2023-05-03,41461,210
2023-05-03,41463,414
2023-05-03,41465,324
2023-05-03,41480,432
2023-05-03,41500,168
2023-05-03,41550,230
2023-05-03,41570,492
2023-05-03,41590,853
2023-05-03,41610,438
2023-05-03,41630,260
2023-05-03,41650,139
2023-05-03,41670,86
2023-05-03,41800,66
2023-05-03,41820,48
2023-05-03,41830,114
2023-05-03,42110,191
2023-05-03,42130,386
2023-05-03,42150,166
2023-05-03,42170,77
2023-05-03,42190,91
2023-05-03,42210,59
2023-05-03,42230,99
2023-05-03,42720,43
2023-05-03,42730,41
2023-05-03,42750,55
2023-05-03,42760,21
2023-05-03,42770,35
2023-05-03,42780,37
2023-05-03,42790,15
2023-05-03,42800,12
2023-05-03,42810,20
2023-05-03,42820,24
2023-05-03,42830,24
2023-05-03,43111,201
2023-05-03,43112,265
2023-05-03,43113,309
2023-05-03,43114,219
2023-05-03,43130,213
2023-05-03,43150,83
2023-05-03,43720,34
2023-05-03,43730,78
2023-05-03,43740,45
2023-05-03,43745,28
2023-05-03,43750,130
2023-05-03,43760,53
2023-05-03,43770,111
2023-05-03,43800,27
2023-05-03,44131,225
2023-05-03,44133,322
2023-05-03,44150,125
2023-05-03,44180,158
2023-05-03,44200,308
2023-05-03,44210,156
2023-05-03,44230,171
2023-05-03,44250,41
2023-05-03,44270,225
2023-05-03,44710,66
2023-05-03,44760,97
2023-05-03,44770,91
2023-05-03,44790,39
2023-05-03,44800,164
2023-05-03,44810,121
2023-05-03,44825,95
2023-05-03,45111,320
2023-05-03,45113,225
2023-05-03,45130,188
2023-05-03,45140,327
2023-05-03,45180,99
2023-05-03,45190,83
2023-05-03,45210,82
2023-05-03,45710,66
2023-05-03,45720,20
2023-05-03,45730,23
2023-05-03,45740,27
2023-05-03,45750,34
2023-05-03,45770,23
2023-05-03,45790,49
2023-05-03,45800,67
2023-05-03,46110,200
2023-05-03,46130,441
2023-05-03,46150,283
2023-05-03,46170,134
2023-05-03,46230,197
2023-05-03,46710,58
2023-05-03,46720,35
2023-05-03,46730,30
2023-05-03,46770,54
2023-05-03,46780,26
2023-05-03,46790,58
2023-05-03,46800,47
2023-05-03,46810,28
2023-05-03,46820,86
2023-05-03,46830,53
2023-05-03,46840,117
2023-05-03,46860,33
2023-05-03,46870,66
2023-05-03,46880,30
2023-05-03,46890,54
2023-05-03,46900,32
2023-05-03,46910,28
2023-05-03,47111,208
2023-05-03,47113,249
2023-05-03,47130,289
2023-05-03,47150,134
