날짜,시도지역코드,발생건수(건)
2023-06-01,28,1292
2023-06-01,29,638
2023-06-01,30,511
2023-06-01,31,471
2023-06-01,41,5070
2023-06-01,42,0
2023-06-01,43,683
2023-06-01,44,1272
2023-06-01,45,989
2023-06-01,46,1245
2023-06-01,47,1303
2023-06-01,48,1561
2023-06-01,49,313
2023-06-01,99,22134
2023-06-02,11,3919
2023-06-02,26,1436
2023-06-02,27,1099
2023-06-02,28,1349
2023-06-02,29,701
2023-06-02,30,565
2023-06-02,31,581
2023-06-02,41,5648
2023-06-02,42,0
2023-06-02,43,800
2023-06-02,44,1373
2023-06-02,45,1102
2023-06-02,46,1218
2023-06-02,47,1361
2023-06-02,48,1701
2023-06-02,49,328
2023-06-02,99,23842
2023-06-03,11,2474
2023-06-03,26,893
2023-06-03,27,694
2023-06-03,28,794
2023-06-03,29,442
2023-06-03,30,407
2023-06-03,31,358
2023-06-03,41,3516
2023-06-03,42,0
2023-06-03,43,436
2023-06-03,44,876
2023-06-03,45,526
2023-06-03,46,711
2023-06-03,47,777
2023-06-03,48,990
2023-06-03,49,230
2023-06-03,99,14413
2023-06-04,11,229
2023-06-04,26,92
2023-06-04,27,84
2023-06-04,28,184
2023-06-04,29,57
2023-06-04,30,68
2023-06-04,31,20
2023-06-04,41,656
2023-06-04,42,0
2023-06-04,43,58
2023-06-04,44,251
2023-06-04,45,62
2023-06-04,46,159
2023-06-04,47,97
2023-06-04,48,145
2023-06-04,49,31
2023-06-04,99,2230
2023-06-05,11,4779
2023-06-05,26,1907
2023-06-05,27,1332
2023-06-05,28,1662
2023-06-05,29,880
2023-06-05,30,829
2023-06-05,31,703
2023-06-05,41,6795
2023-06-05,42,0
2023-06-05,43,1001
2023-06-05,44,1752
2023-06-05,45,1363
2023-06-05,46,1574
2023-06-05,47,1636
2023-06-05,48,2112
2023-06-05,49,426
2023-06-05,99,29502
2023-06-06,11,271
2023-06-06,26,114
2023-06-06,27,147
2023-06-06,28,236
2023-06-06,29,89
2023-06-06,30,180
2023-06-06,31,96
2023-06-06,41,875
2023-06-06,42,0
2023-06-06,43,113
2023-06-06,44,342
2023-06-06,45,108
2023-06-06,46,214
2023-06-06,47,188
2023-06-06,48,203
2023-06-06,49,53
2023-06-06,99,3277
2023-06-07,11,4078
2023-06-07,26,1640
2023-06-07,27,1093
2023-06-07,28,1460
2023-06-07,29,713
2023-06-07,30,624
2023-06-07,31,570
2023-06-07,41,5593
2023-06-07,42,0
2023-06-07,43,751
2023-06-07,44,1399
2023-06-07,45,1073
2023-06-07,46,1333
2023-06-07,47,1358
2023-06-07,48,1731
2023-06-07,49,342
2023-06-07,99,24422
2023-06-08,11,3370
2023-06-08,26,1369
2023-06-08,27,981
2023-06-08,28,1180
2023-06-08,29,623
2023-06-08,30,522
2023-06-08,31,468
2023-06-08,41,4770
2023-06-08,42,0
2023-06-08,43,656
2023-06-08,44,1226
2023-06-08,45,1003
2023-06-08,46,1074
2023-06-08,47,1142
2023-06-08,48,1454
2023-06-08,49,383
2023-06-08,99,20838
2023-06-09,11,3334
2023-06-09,26,1433
2023-06-09,27,854
2023-06-09,28,1154
2023-06-09,29,623
2023-06-09,30,537
2023-06-09,31,472
2023-06-09,41,4807
2023-06-09,42,0
2023-06-09,43,685
2023-06-09,44,1233
2023-06-09,45,934
2023-06-09,46,1047
2023-06-09,47,1182
2023-06-09,48,1545
2023-06-09,49,341
